# ACTS Test Suite Generation: Mon Nov 13 18:26:33 PST 2017
#  * represents don't care value 

# Degree of interaction coverage: 5
# Number of parameters: 51
# Maximum number of values per parameter: 10
# Number of configurations: 10926
# Number of extended configurations: 0
# ****************************************************
any,posix,boundary,notBoundary,word_begin,word_end,wordC,notWordC,whitespace,notWhitespace,tab,property,notProperty,nameProperty,digit,notDigit,look_ahead,nlook_ahead,look_behind,nlook_behind,unicodeC,backref,zeroOrOne,zeroOrOne_nested,zeroOrMore,zeroOrMore_nested,oneOrMore,oneOrMore_nested,repeat_n,repeat_n_nested,repeat_nm,repeat_nm_nested,repeat_n_more,repeat_n_more_nested,join,list,nList,range,start,end,-w,-c,-i,-e,-f,-x,-t,-v,-BlockSize,syntax,fileType
true,off,false,true,false,true,false,false,false,false,true,enum,numeric,false,false,true,false,false,true,true,false,true,false,true,false,false,false,false,small,true,small-small,true,large,true,false,false,true,true,true,true,false,true,true,false,true,true,3,false,256,off,l
true,off,true,false,false,true,false,false,true,true,true,enum,numeric,false,false,false,true,true,false,false,true,true,false,false,true,false,true,false,small,true,small-small,false,small,false,true,false,true,true,false,false,false,false,false,true,false,true,4,true,128,-E,s
false,off,true,true,false,true,true,true,true,false,false,catalog,off,false,false,false,true,false,true,true,true,false,true,true,true,true,true,false,large,true,small-small,true,large,false,false,false,true,false,true,false,false,true,true,false,false,false,off,false,128,-E,s
true,off,false,false,false,true,false,false,true,false,true,catalog,off,true,true,true,true,true,false,true,false,true,true,false,false,true,true,true,small,false,small-small,false,medium,false,true,true,true,true,false,false,true,true,false,false,false,false,1,true,512,off,m
true,off,false,true,true,true,false,false,true,true,false,catalog,off,false,true,false,true,true,false,false,false,true,false,true,true,false,false,true,medium,false,small-small,true,medium,true,false,false,false,true,true,false,true,false,false,false,true,true,2,false,off,-P,s
false,off,false,true,true,false,true,false,false,true,false,catalog,off,true,false,true,true,false,false,false,true,true,false,false,false,true,true,true,small,true,small-small,true,small,true,false,true,false,true,true,true,false,false,true,true,false,false,3,true,64,-G,m
false,off,true,false,true,false,false,true,true,true,true,catalog,off,true,false,true,false,true,false,true,false,false,false,true,false,false,true,false,medium,true,small-small,true,medium,true,true,true,true,true,true,true,true,false,true,false,true,true,4,true,256,-E,l
true,off,true,false,true,false,true,false,false,false,false,catalog,binary,false,true,false,false,false,false,true,false,false,false,true,false,false,false,false,small,true,small-small,false,small,true,true,false,true,false,true,true,false,true,false,false,true,false,off,false,512,-P,s
true,off,true,false,false,false,false,false,false,true,true,catalog,binary,true,false,false,true,false,true,false,true,false,true,false,true,false,false,false,large,false,small-small,true,medium,true,true,false,false,true,true,true,true,true,false,true,true,true,1,false,128,-G,m
false,off,false,true,false,false,false,true,false,true,false,catalog,binary,true,true,true,false,true,true,false,true,true,true,false,true,false,true,false,medium,true,small-small,false,large,false,false,true,false,false,false,false,true,false,true,true,true,true,2,true,64,off,s
false,off,true,true,true,true,false,true,false,false,true,catalog,binary,false,false,true,false,true,false,false,false,false,true,false,true,true,false,false,small,false,small-small,false,large,false,true,true,false,false,true,true,false,false,true,true,false,false,3,false,off,-E,m
true,off,false,true,false,true,true,true,false,false,true,catalog,binary,false,true,true,true,false,true,false,false,false,true,false,false,true,false,true,medium,false,small-small,true,small,false,false,true,true,false,false,true,true,true,true,false,true,true,4,true,128,-P,l
true,off,false,false,false,true,false,true,false,false,false,catalog,enum,true,true,true,false,false,true,true,true,true,false,true,true,true,false,true,large,false,small-small,true,small,false,false,true,false,false,true,true,false,false,false,true,false,true,off,true,256,-G,s
false,off,false,false,true,false,true,false,true,false,false,catalog,enum,true,false,false,false,false,true,true,false,true,true,true,true,true,false,false,large,false,small-small,false,large,true,true,true,true,false,false,false,false,true,true,true,false,false,1,true,64,-P,l
true,off,false,true,true,false,false,false,false,true,true,catalog,enum,false,true,false,false,true,true,true,true,true,true,true,false,true,true,false,small,true,small-small,true,medium,false,false,false,true,true,true,false,true,false,false,true,false,false,2,false,128,-E,l
false,off,true,true,false,false,true,true,false,false,true,catalog,enum,true,false,false,true,true,false,true,true,true,false,true,true,false,false,true,medium,true,small-small,true,medium,true,false,false,false,true,false,false,true,true,false,false,false,false,3,true,512,off,l
true,off,true,true,true,false,true,true,true,true,true,catalog,enum,false,true,false,true,true,false,false,false,false,false,false,false,false,true,true,large,false,small-small,false,large,false,true,false,true,true,false,true,false,false,true,false,true,false,4,true,off,-G,m
